D10A_data-2006-03-26-0836.txt

d10a.D10A Time	Hr	Mn	Sec	fractions of sec	Pitch	Bank	Heading	IAS	Baro Altitude	Yaw rate	Ny	Nz
(seconds)	(Hr)	(Mn)	(Sec)	(1/64 sec)	(deg)	(deg)	(deg mag)	(KIAS)	(ft)	(deg/s)	(g)	(g)
1143380598.01	13	48	23	26	9.5	0.7	304	0.0	-291.99476	+004	0.01	1.0
1143380599.01	13	48	24	26	9.6	0.7	304	0.0	-291.99476	+004	0.01	1.0
1143380600.01	13	48	25	26	9.5	0.8	304	0.0	-291.99476	+004	0.01	1.0
1143380601.01	13	48	26	26	9.5	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380602.01	13	48	27	26	9.5	0.8	304	0.0	-291.99476	+004	0.01	1.0
1143380603.01	13	48	28	26	9.5	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380604.01	13	48	29	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380605.01	13	48	30	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380606.01	13	48	31	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380607.01	13	48	32	26	9.6	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380608.01	13	48	33	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380609.01	13	48	34	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380610.01	13	48	35	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380611.01	13	48	36	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380612.01	13	48	37	26	9.5	0.8	304	0.0	-291.99476	+004	0.01	1.0
1143380613.01	13	48	38	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380614.01	13	48	39	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380615.01	13	48	40	26	9.6	0.8	303	0.0	-291.99476	+004	0.01	1.0
1143380616.01	13	48	41	26	9.6	0.7	303	0.0	-291.99476	+004	0.01	1.0
1143380617.01	13	48	42	26	9.5	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380618.01	13	48	43	26	9.6	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380619.01	13	48	44	26	9.6	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380620.01	13	48	45	26	9.6	0.7	304	0.0	-291.99476	+003	0.01	1.0
