EIS4000_data-2006-03-26-0836.txt

eis4000.EIS4000 Time	RPM	MP	OAT	Fuel Flow	Fuel Qty	CHT 1	CHT 2	CHT 3	CHT 4	EGT 1	EGT 2	EGT 3	EGT 4	Oil Temp	Oil Press	Volt	Hour Meter	Hrs	Min	Sec	Hours End	Min End	Unit Temp
(seconds)	(RPM)	(in HG)	(deg C)	(USG/hr)	(USG)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(psi)	(volt)	(hr)	(hr)	(mn)	(s)	(hr)	(mn)	(deg C)
1143381099.02	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381100.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381101.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381102.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381103.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381104.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381105.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381106.0	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381107.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381108.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381109.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381110.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381111.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381112.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381113.1	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381114.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381115.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381116.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381117.09	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381118.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381119.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
