Discretes_data-2006-03-26-0836.txt

discretes.Discretes Time	Event Marker
(seconds)	(1 = Event)
1143380574.0	0
1143380575.0	0
1143380576.01	0
1143380577.02	0
1143380578.01	0
1143380579.0	0
1143380580.0	0
1143380581.0	0
1143380582.0	0
1143380583.02	0
1143380584.0	0
1143380585.01	0
1143380586.01	0
1143380587.0	0
1143380588.01	0
1143380589.02	0
1143380590.01	0
1143380591.02	0
1143380592.01	0
1143380593.01	0
1143380594.02	0
1143380595.01	0
1143380596.0	0
1143380597.0	0
1143380598.02	0
1143380599.02	0
1143380600.01	0
1143380601.01	0
1143380602.01	0
1143380603.01	0
1143380604.02	0
1143380605.01	0
1143380606.02	0
1143380607.01	0
1143380608.01	0
1143380609.02	0
1143380610.01	0
1143380611.01	0
1143380612.01	0
1143380613.0	0
1143380614.0	0
1143380615.01	0
1143380616.01	0
1143380617.01	0
1143380618.01	0
1143380619.01	0
1143380620.0	0
1143380621.01	0
1143380622.01	0
1143380623.01	0
1143380624.01	0
1143380625.01	0
1143380626.01	0
1143380627.02	0
1143380628.02	0
1143380629.02	1
1143380630.0	0
1143380631.0	0
1143380632.02	0
1143380633.01	0
1143380634.02	0
1143380635.02	0
1143380636.01	0
1143380637.02	0
1143380638.01	0
1143380639.02	0
1143380640.01	0
1143380641.02	0
1143380642.0	0
1143380643.02	0
1143380644.01	0
1143380645.0	0
1143380646.01	0
1143380647.01	0
1143380648.0	0
1143380649.01	0
1143380650.01	0
1143380651.01	0
1143380652.02	0
1143380653.01	0
1143380654.01	0
1143380655.02	0
1143380656.02	0
1143380657.0	0
1143380658.0	0
1143380659.01	0
1143380660.01	0
1143380661.01	0
1143380662.0	0
1143380663.0	0
1143380664.01	0
1143380665.0	0
1143380666.01	0
1143380667.0	0
1143380668.0	0
1143380669.02	0
1143380670.0	0
1143380671.01	0
1143380672.04	0
1143380673.05	0
1143380674.02	0
1143380675.04	0
1143380676.01	0
1143380677.31	0
1143380678.08	0
1143380679.0	0
1143380680.01	0
1143380681.02	0
1143380682.01	0
1143380683.02	0
1143380684.02	0
1143380685.02	0
1143380686.01	0
1143380687.01	0
1143380688.01	0
1143380689.0	0
1143380690.0	0
1143380691.01	0
1143380692.02	0
1143380693.02	0
1143380694.01	0
1143380695.02	0
1143380696.0	0
1143380697.02	0
1143380698.02	0
1143380699.01	0
1143380700.14	0
1143380701.11	0
1143380702.0	0
1143380703.04	0
1143380704.01	0
1143380705.03	0
1143380706.01	0
1143380707.02	0
1143380708.02	0
1143380709.05	0
1143380710.02	0
1143380711.01	0
1143380712.0	0
1143380713.01	0
1143380714.01	0
1143380715.02	0
1143380716.04	0
1143380717.03	0
1143380718.02	0
1143380719.03	0
1143380720.03	0
1143380721.05	0
1143380722.04	0
1143380723.03	0
1143380724.0	0
1143380725.02	0
1143380726.02	0
1143380727.0	0
1143380728.03	0
1143380729.03	0
1143380730.0	0
1143380731.03	0
1143380732.01	0
1143380733.0	0
1143380734.01	0
1143380735.03	0
1143380736.01	0
1143380737.0	0
1143380738.0	0
1143380739.0	0
1143380740.04	0
1143380741.0	0
1143380742.0	0
1143380743.02	0
1143380744.01	0
1143380745.01	0
1143380746.0	0
1143380747.01	0
1143380748.01	0
1143380749.01	0
1143380750.01	0
1143380751.01	0
1143380752.01	0
1143380753.0	0
1143380754.02	0
1143380755.01	0
1143380756.01	0
1143380757.02	0
1143380758.0	0
1143380759.0	0
1143380760.01	0
1143380761.01	0
1143380762.0	0
1143380763.01	0
1143380764.0	0
1143380765.01	0
1143380766.02	0
1143380767.01	0
1143380768.0	0
1143380769.02	0
1143380770.01	0
1143380771.01	0
1143380772.01	0
1143380773.02	0
1143380774.02	0
1143380775.01	0
1143380776.02	0
1143380777.01	0
1143380778.01	0
1143380779.01	0
1143380780.01	0
1143380781.01	0
1143380782.02	0
1143380783.0	0
1143380784.01	0
1143380785.0	0
1143380786.01	0
1143380787.01	0
1143380788.01	0
1143380789.01	0
1143380790.0	0
1143380791.01	0
1143380792.02	0
1143380793.0	0
1143380794.02	0
1143380795.0	0
1143380796.0	0
1143380797.01	0
1143380798.0	0
1143380799.01	0
1143380800.01	0
1143380801.01	0
1143380802.01	0
1143380803.01	0
1143380804.01	0
1143380805.02	0
1143380806.01	0
1143380807.0	0
1143380808.0	0
1143380809.01	0
1143380810.01	0
1143380811.01	0
1143380812.0	0
1143380813.01	0
1143380814.01	0
1143380815.01	0
1143380816.01	0
1143380817.0	0
1143380818.02	0
1143380819.0	0
1143380820.0	0
1143380821.01	0
1143380822.02	0
1143380823.01	0
1143380824.01	0
1143380825.01	0
1143380826.01	1
1143380827.02	0
1143380828.01	0
1143380829.02	0
1143380830.02	0
1143380831.0	0
1143380832.0	0
1143380833.0	0
1143380834.0	0
1143380835.01	0
1143380836.0	0
1143380837.01	0
1143380838.01	0
1143380839.01	0
1143380840.02	0
1143380841.0	0
1143380842.01	0
1143380843.01	0
1143380844.01	0
1143380845.01	0
1143380846.01	0
1143380847.01	0
1143380848.01	0
1143380849.01	0
1143380850.02	0
1143380851.0	0
1143380852.02	0
1143380853.0	0
1143380854.01	0
1143380855.0	0
1143380856.0	0
1143380857.0	0
1143380858.01	0
1143380859.0	0
1143380860.0	0
1143380861.01	0
1143380862.0	0
1143380863.01	0
1143380864.01	1
1143380865.02	0
1143380866.0	0
1143380867.0	0
1143380868.02	0
1143380869.01	0
1143380870.01	0
1143380871.01	0
1143380872.01	0
1143380873.02	0
1143380874.01	0
1143380875.0	0
1143380876.01	0
1143380877.01	0
1143380878.0	0
1143380879.01	0
1143380880.01	0
1143380881.01	0
1143380882.01	0
1143380883.01	0
1143380884.02	0
1143380885.02	0
1143380886.02	0
1143380887.0	0
1143380888.02	0
1143380889.0	0
1143380890.02	0
1143380891.01	0
1143380892.01	0
1143380893.01	0
1143380894.0	0
1143380895.0	0
1143380896.01	0
1143380897.01	0
1143380898.02	0
1143380899.02	0
1143380900.02	0
1143380901.0	0
1143380902.02	0
1143380903.01	0
1143380904.0	0
1143380905.02	0
1143380906.01	0
1143380907.02	0
1143380908.01	0
1143380909.01	0
1143380910.02	1
1143380911.0	1
1143380912.0	0
1143380913.01	0
1143380914.01	0
1143380915.0	0
1143380916.01	0
1143380917.01	0
1143380918.02	0
1143380919.02	0
1143380920.01	0
1143380921.0	0
1143380922.0	0
1143380923.01	0
1143380924.02	0
1143380925.03	0
1143380926.03	0
1143380927.02	0
1143380928.01	0
1143380929.02	0
1143380930.01	0
1143380931.01	0
1143380932.02	0
1143380933.02	0
1143380934.0	0
1143380935.02	0
1143380936.02	0
1143380937.01	0
1143380938.01	0
1143380939.01	0
1143380940.01	0
1143380941.03	0
1143380942.02	0
1143380943.01	0
1143380944.02	0
1143380945.04	0
1143380946.0	0
1143380947.01	0
1143380948.01	0
1143380949.0	0
1143380950.02	0
1143380951.02	0
1143380952.04	0
1143380953.0	0
1143380954.03	0
1143380955.01	0
1143380956.02	0
1143380957.0	0
1143380958.01	0
1143380959.01	0
1143380960.0	0
1143380961.01	0
1143380962.01	0
1143380963.01	0
1143380964.02	0
1143380965.01	0
1143380966.01	0
1143380967.03	0
1143380968.02	0
1143380969.03	0
1143380970.02	0
1143380971.02	0
1143380972.03	0
1143380973.03	0
1143380974.0	0
1143380975.03	0
1143380976.03	0
1143380977.03	0
1143380978.04	0
1143380979.03	0
1143380980.04	0
1143380981.04	0
1143380982.02	0
1143380983.02	0
1143380984.03	0
1143380985.0	0
1143380986.0	0
1143380987.0	0
1143380988.0	0
1143380989.01	0
1143380990.0	0
1143380991.01	0
1143380992.01	0
1143380993.01	0
1143380994.01	0
1143380995.02	0
1143380996.01	0
1143380997.01	0
1143380998.01	0
1143380999.02	0
1143381000.02	0
1143381001.01	0
1143381002.0	0
1143381003.02	0
1143381004.02	0
1143381005.01	0
1143381006.01	0
1143381007.01	0
1143381008.0	0
1143381009.02	0
1143381010.02	0
1143381011.01	0
1143381012.01	0
1143381013.0	0
1143381014.0	0
1143381015.01	0
1143381016.01	0
1143381017.01	0
1143381018.01	0
1143381019.02	0
1143381020.01	0
1143381021.02	0
1143381022.02	0
1143381023.01	0
1143381024.02	0
1143381025.0	0
1143381026.01	0
1143381027.02	0
1143381028.01	0
1143381029.01	0
1143381030.01	0
1143381031.01	0
1143381032.01	0
1143381033.02	0
1143381034.0	0
1143381035.01	0
1143381036.02	0
1143381037.01	0
1143381038.01	0
1143381039.0	0
1143381040.01	0
1143381041.01	0
1143381042.02	0
1143381043.02	0
1143381044.01	0
1143381045.02	0
1143381046.01	0
1143381047.02	0
1143381048.01	0
1143381049.0	0
1143381050.02	0
1143381051.0	0
1143381052.0	0
1143381053.01	0
1143381054.01	0
1143381055.01	0
1143381056.02	0
1143381057.0	0
1143381058.01	0
1143381059.02	0
1143381060.01	0
1143381061.01	0
1143381062.0	0
1143381063.0	0
1143381064.0	0
1143381065.01	0
1143381066.01	0
1143381067.02	0
1143381068.0	0
1143381069.01	0
1143381070.0	0
1143381071.01	0
1143381072.01	0
1143381073.01	0
1143381074.01	0
1143381075.01	0
1143381076.01	0
1143381077.01	0
1143381078.01	0
1143381079.01	0
1143381080.01	0
1143381081.01	0
1143381082.02	0
1143381083.02	0
1143381084.02	0
1143381085.02	0
1143381086.01	0
1143381087.02	0
1143381088.02	0
1143381089.0	0
1143381090.01	0
1143381091.02	0
1143381092.01	0
1143381093.0	0
1143381094.0	0
1143381095.01	0
1143381096.01	0
1143381097.01	0
1143381098.01	0
1143381099.01	0
1143381100.01	0
1143381101.01	0
1143381102.0	0
1143381103.02	0
1143381104.01	0
1143381105.02	0
1143381106.01	0
1143381107.01	0
1143381108.0	0
1143381109.01	0
1143381110.0	0
1143381111.02	0
1143381112.0	0
1143381113.01	0
1143381114.01	0
1143381115.0	0
1143381116.02	0
1143381117.02	0
1143381118.01	0
1143381119.01	0
1143381120.01	0
1143381121.02	0
1143381122.02	0
1143381123.02	0
1143381124.02	0
1143381125.02	0
1143381126.01	0
1143381127.0	0
1143381128.0	0
1143381129.0	0
1143381130.01	0
1143381131.0	0
1143381132.01	0
1143381133.01	0
1143381134.02	0
1143381135.01	0
1143381136.01	0
1143381137.0	0
1143381138.06	0
1143381139.0	0
1143381140.0	0
1143381141.0	0
1143381142.02	0
1143381143.02	0
1143381144.01	0
1143381145.02	0
1143381146.01	0
1143381147.01	0
1143381148.0	0
1143381149.01	0
1143381150.02	0
1143381151.02	0
1143381152.02	0
1143381153.01	0
1143381154.02	0
1143381155.02	0
1143381156.02	0
1143381157.01	0
1143381158.0	0
1143381159.01	0
1143381160.01	0
1143381161.01	0
1143381162.01	0
1143381163.01	0
1143381164.01	0
1143381165.01	0
1143381166.01	0
1143381167.0	0
1143381168.01	0
1143381169.01	0
1143381170.02	0
1143381171.02	0
1143381172.01	0
1143381173.02	0
1143381174.0	0
1143381175.0	0
1143381176.01	0
1143381177.01	0
1143381178.02	0
1143381179.02	0
1143381180.02	0
1143381181.01	0
1143381182.0	0
1143381183.02	0
1143381184.01	0
1143381185.02	0
1143381186.02	0
1143381187.02	0
1143381188.01	0
1143381189.02	0
1143381190.01	0
1143381191.01	0
1143381192.01	0
1143381193.01	0
1143381194.01	0
1143381195.0	0
1143381196.0	0
1143381197.01	0
1143381198.02	0
1143381199.02	0
1143381200.01	0
1143381201.01	0
1143381202.01	0
1143381203.0	0
1143381204.02	0
1143381205.01	0
1143381206.01	0
1143381207.01	0
1143381208.01	0
1143381209.01	0
1143381210.01	0
1143381211.01	0
1143381212.01	0
1143381213.01	0
1143381214.01	0
1143381215.01	0
1143381216.01	0
1143381217.01	0
1143381218.02	0
1143381219.02	0
1143381220.02	0
1143381221.01	0
1143381222.01	0
1143381223.0	0
1143381224.0	0
1143381225.02	0
1143381226.02	0
1143381227.01	0
1143381228.03	0
1143381229.01	0
1143381230.0	0
1143381231.01	0
1143381232.0	0
1143381233.01	0
1143381234.01	0
1143381235.0	0
1143381236.02	0
1143381237.14	0
1143381238.07	0
1143381239.01	0
1143381240.06	0
1143381241.01	0
1143381242.01	0
1143381243.01	0
1143381244.01	0
1143381245.01	0
1143381246.01	0
1143381247.02	0
1143381248.0	0
1143381249.01	0
1143381250.01	0
1143381251.01	0
1143381252.01	0
1143381253.0	0
1143381254.03	0
1143381255.01	0
1143381256.11	0
1143381257.0	0
1143381258.01	0
1143381259.01	0
1143381260.01	0
1143381261.02	0
1143381262.0	0
1143381263.01	0
1143381264.01	0
1143381265.01	0
1143381266.04	0
1143381267.02	0
1143381268.01	0
1143381269.02	0
1143381270.0	0
1143381271.03	0
1143381272.01	0
1143381273.01	0
1143381274.03	0
1143381275.03	0
1143381276.02	0
1143381277.02	0
1143381278.0	0
1143381279.02	0
1143381280.03	0
1143381281.02	0
1143381282.03	0
1143381283.01	0
1143381284.03	0
1143381285.04	0
1143381286.03	0
1143381287.01	0
1143381288.01	0
1143381289.0	0
1143381290.0	0
1143381291.01	0
1143381292.04	0
1143381293.0	0
1143381294.04	0
1143381295.03	0
1143381296.02	0
1143381297.0	0
1143381298.0	0
1143381299.0	0
1143381300.03	0
1143381301.0	0
1143381302.0	0
1143381303.01	0
1143381304.01	0
1143381305.03	0
1143381306.04	0
1143381307.03	0
1143381308.01	0
1143381309.01	0
1143381310.01	0
1143381311.0	0
1143381312.0	0
1143381313.02	0
1143381314.01	0
1143381315.01	0
1143381316.02	0
1143381317.01	0
1143381318.02	0
1143381319.01	0
1143381320.05	0
1143381321.01	0
1143381322.0	0
1143381323.0	0
1143381324.02	0
1143381325.0	0
1143381326.01	0
1143381327.06	0
1143381328.01	0
1143381329.04	0
1143381330.01	0
1143381331.01	0
1143381332.01	0
1143381333.02	0
1143381334.02	0
1143381335.03	0
1143381336.01	0
1143381337.01	0
1143381338.0	1
1143381339.02	0
1143381340.02	0
1143381341.02	0
1143381342.02	0
1143381343.0	0
1143381344.02	0
1143381345.01	0
1143381346.01	0
1143381347.02	0
1143381348.02	0
1143381349.0	0
1143381350.01	0
1143381351.01	0
1143381352.01	0
1143381353.0	0
1143381354.01	0
1143381355.02	0
1143381356.0	0
1143381357.01	0
1143381358.01	0
1143381359.01	0
1143381360.0	0
1143381361.0	0
1143381362.01	0
1143381363.01	0
1143381364.01	0
1143381365.01	0
1143381366.01	0
1143381367.01	0
1143381368.01	0
1143381369.01	0
1143381370.0	0
1143381371.0	0
1143381372.01	0
1143381373.01	0
1143381374.01	0
1143381375.02	0
1143381376.01	0
1143381377.02	0
1143381378.0	0
1143381379.01	0
1143381380.01	0
1143381381.0	0
1143381382.01	0
1143381383.0	0
1143381384.01	0
1143381385.0	0
1143381386.01	0
1143381387.02	0
1143381388.01	0
